my_index;date_taken;id;link_obj
1428;1965/1970;http://www.bildindex.de/bilder/d/fm1351622;http://www.bildindex.de/document/obj20161823
1429;1965/1970;http://www.bildindex.de/bilder/d/fm1351623;http://www.bildindex.de/document/obj20161823
1430;1967/1968;http://www.bildindex.de/bilder/d/fm1351624;http://www.bildindex.de/document/obj20269511
1431;1966/1967;http://www.bildindex.de/bilder/d/fm1351625;http://www.bildindex.de/document/obj20192347
1432;1966/1967;http://www.bildindex.de/bilder/d/fm1351626;http://www.bildindex.de/document/obj20269511
1434;1967/1968;http://www.bildindex.de/bilder/d/fm1351628;http://www.bildindex.de/document/obj20269511
1454;;http://www.bildindex.de/bilder/d/fm1351648;http://www.bildindex.de/document/obj20269564
1455;;http://www.bildindex.de/bilder/d/fm1351649;http://www.bildindex.de/document/obj20269564
1456;;http://www.bildindex.de/bilder/d/fm1351650;http://www.bildindex.de/document/obj20269564
1458;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351652;http://www.bildindex.de/document/obj20269672
1459;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351653;http://www.bildindex.de/document/obj20269672
1460;;http://www.bildindex.de/bilder/d/fm1351654;http://www.bildindex.de/document/obj20269672
1463;;http://www.bildindex.de/bilder/d/fm1351659;http://www.bildindex.de/document/obj20269564
1464;;http://www.bildindex.de/bilder/d/fm1351660;http://www.bildindex.de/document/obj20269564
1466;;http://www.bildindex.de/bilder/d/fm1351662;http://www.bildindex.de/document/obj20269564
1467;;http://www.bildindex.de/bilder/d/fm1351663;http://www.bildindex.de/document/obj20269564
1469;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351665;http://www.bildindex.de/document/obj20269672
1470;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351666;http://www.bildindex.de/document/obj20269672
1471;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351667;http://www.bildindex.de/document/obj20269672
1472;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351668;http://www.bildindex.de/document/obj20269672
1699;1944;http://www.bildindex.de/bilder/d/fm141330;http://www.bildindex.de/document/obj20161823
1718;um 1920?;http://www.bildindex.de/bilder/d/fm14431;http://www.bildindex.de/document/obj20269564
1762;vor 1920?;http://www.bildindex.de/bilder/d/fm14720;http://www.bildindex.de/document/obj20269785
1792;vor 1920?;http://www.bildindex.de/bilder/d/fm14839;http://www.bildindex.de/document/obj20269654
1799;vor 1920?;http://www.bildindex.de/bilder/d/fm14906;http://www.bildindex.de/document/obj20269564
1800;vor 1920?;http://www.bildindex.de/bilder/d/fm14907;http://www.bildindex.de/document/obj20269564
1807;vor 1920?;http://www.bildindex.de/bilder/d/fm14938;http://www.bildindex.de/document/obj20269726
1840;vor 1920?;http://www.bildindex.de/bilder/d/fm15035;http://www.bildindex.de/document/obj20269564
1911;vor 1920?;http://www.bildindex.de/bilder/d/fm15127;http://www.bildindex.de/document/obj20269672
1932;vor 1920?;http://www.bildindex.de/bilder/d/fm15133;http://www.bildindex.de/document/obj20269672
2049;vor 1920?;http://www.bildindex.de/bilder/d/fm15145;http://www.bildindex.de/document/obj20269672
2067;um 1930/1940?;http://www.bildindex.de/bilder/d/fm1515258;http://www.bildindex.de/document/obj20096452
2068;um 1900;http://www.bildindex.de/bilder/d/fm1515291;http://www.bildindex.de/document/obj20269564
2075;1920/1940;http://www.bildindex.de/bilder/d/fm1515453;http://www.bildindex.de/document/obj20269564
